Turbidity;B01;B02;B03;B04;B05;B06;B07;B08;B8A;B09;B10;B11;B12;Cloud
2;7010;6854;6313;6812;6750;6879;7168;6779;7318;2372;203;4527;3085;0.9975
1.9;6212;6153;5494;5733;5525;5546;5809;5654;5863;1761;200;3199;1973;0.9966
1.1;4173;4219;4040;4378;4446;4589;4757;4546;4850;1953;21;4610;4120;0.9891
1.3;4133;4083;3875;4120;4189;4291;4462;4269;4512;1866;22;4278;3788;0.9908
0.8;3624;3447;3208;3373;3427;3493;3634;3388;3693;1518;21;3590;3253;0.9868
1.5;3158;3172;2877;2989;2898;3002;3092;2984;3164;1183;16;3100;2852;0.9459
1.3;3624;3472;3228;3403;3366;3424;3597;3475;3615;1578;19;3778;3498;0.9798
1;1632;1370;1164;1019;960;970;1032;856;1027;209;7;833;698;0.022
1.2;1598;1370;1094;920;848;879;928;773;914;187;9;738;590;0.0277
2;1462;1165;786;407;339;318;298;247;239;72;7;73;36;0.0062
1.7;1422;1113;708;366;308;280;261;219;201;68;7;58;31;0.0035
1.7;1389;1053;669;370;306;287;256;216;206;68;6;52;27;0.0013
1.2;1336;1031;711;403;370;353;336;265;307;88;6;117;81;0.0034
0.5;1426;1174;849;453;385;360;343;292;307;89;7;132;89;0.0058
0.5;1316;990;570;285;243;228;208;176;157;74;9;52;19;0.0009
0.3;1322;1011;577;280;233;208;197;150;137;62;11;20;11;0.0001
0.2;1293;946;506;270;229;205;185;144;133;63;8;23;11;0.0001
1.7;1351;1106;762;321;263;244;231;186;187;77;10;42;24;0.0005
1.6;1356;1091;741;311;248;208;195;147;135;67;8;23;13;0.0001
1.8;1362;1104;774;316;255;222;199;160;148;73;10;27;15;0.0002
4;1439;1186;936;389;300;251;235;186;181;78;10;42;21;0.0006
3;1441;1219;957;376;288;227;215;177;151;68;9;30;12;0.0002
1.8;1398;1130;774;331;254;213;189;152;142;69;10;24;6;0.0001
1.5;1896;1483;1083;637;582;568;566;492;496;274;181;296;241;0.9972
2.3;1903;1525;1040;613;555;537;527;467;471;281;185;275;242;0.9978
2.5;2104;1713;1273;884;819;845;827;752;771;489;382;524;449;0.9994
5.5;1792;1426;1015;510;406;320;289;230;196;83;15;36;23;0.0003
6.2;1791;1441;1022;512;396;306;272;227;177;84;14;37;19;0.0002
4.2;1744;1364;956;455;374;294;264;202;186;89;13;26;28;0.0009
9.3;1664;1401;1182;725;570;375;331;243;212;92;10;40;20;0.0014
7.9;1528;1189;899;543;435;315;270;214;202;87;15;36;27;0.0011
5.1;1792;1445;1074;569;448;336;317;260;236;100;16;53;41;0.0012
5.7;2277;2072;1804;1494;1519;1738;1892;1846;1933;861;237;1334;1136;0.9757
6.2;2663;2513;2167;1907;1899;2009;2114;2128;2114;1212;320;1659;1407;0.9914
6;2150;1998;1833;1634;1560;1636;1674;1748;1665;745;246;1327;1036;0.9724
2;2330;2613;2308;2029;1965;2017;2036;2246;1978;724;120;1650;1230;0.6969
3.3;2309;1844;1590;1359;1396;1565;1728;1383;1783;884;154;1323;1217;0.9338
1.5;1405;1043;664;373;312;277;273;229;214;64;8;70;36;0.0022
1.4;1487;1147;732;436;364;339;333;290;277;78;8;113;76;0.0127
1.5;1427;1070;680;378;329;300;300;244;234;69;6;88;57;0.0053
0.2;4205;4122;3686;3635;3620;3669;3733;3707;3700;1983;163;1513;1364;0.8763
0.2;3145;2868;2433;2302;2266;2334;2427;2394;2438;1240;90;1489;1322;0.9665
0.2;2498;2346;1972;1831;1809;1846;1898;1883;1863;702;43;1636;1317;0.7603
0.9;1429;1040;614;376;318;292;283;228;236;73;7;87;61;0.0066
1.2;1419;1058;631;374;321;302;294;234;241;79;8;84;50;0.0036
1.3;1436;1075;676;420;353;358;354;283;302;85;5;138;92;0.0048
1.4;1445;1091;693;399;337;313;302;251;238;70;8;89;54;0.0064
1.4;1478;1146;789;428;367;354;346;285;283;73;8;92;52;0.0065
2;1482;1177;842;437;371;366;363;302;311;78;8;111;68;0.0088
0.8;1761;1323;847;575;564;606;658;477;662;176;12;383;358;0.1781
1;1643;1235;823;550;472;443;415;386;346;100;8;208;102;0.0435
0.2;1684;1257;773;475;411;391;394;321;326;90;7;110;63;0.0269
0.2;1631;1182;720;449;383;354;352;281;281;78;7;89;55;0.039
0.4;2607;2355;2088;1959;2038;2183;2285;2086;2289;1029;60;2161;1979;0.7719
0.2;2986;2772;2346;2332;2353;2497;2649;2401;2757;1376;73;2632;2570;0.9465
0.1;2848;2507;2224;2148;2145;2174;2213;2125;2217;1215;68;2365;2189;0.8343
1;5585;5314;5318;5702;5834;6104;6374;5852;6546;3503;145;5776;5154;0.9987
1;2697;2854;2518;2359;2310;2386;2433;2554;2367;1063;64;2388;1934;0.8651
1.1;2997;2668;1920;1352;1443;1575;1848;2164;2123;1366;65;1548;1752;0.9682
1.7;1766;1463;1266;882;847;950;1052;600;1062;236;14;755;607;0.171
1.8;1642;1425;1100;587;509;510;553;476;521;152;10;268;225;0.0658
2;1578;1287;946;574;478;483;493;329;436;123;9;246;180;0.034
0.4;2712;2659;2383;2412;2411;2565;2621;2495;2610;1123;74;2690;2252;0.9017
0.3;2742;1733;1532;1697;1773;2044;2184;1332;2287;1243;57;2194;1966;0.8984
1.3;1574;1145;735;416;385;398;412;346;352;137;15;136;84;0.0465
1.3;1630;1197;752;437;389;387;401;319;356;151;21;132;88;0.0521
1.5;1619;1184;765;453;386;378;390;340;329;120;28;129;86;0.0342
1.1;1571;1149;742;462;412;417;396;355;359;129;40;162;115;0.0087
1.1;1578;1100;677;417;363;338;357;270;324;152;16;106;80;0.0183
1.4;1609;1179;740;408;361;347;340;275;284;97;11;88;56;0.029
1.3;1595;1185;716;406;350;327;314;268;262;95;11;85;52;0.0195
